s,a,r,sp
34791,5,-25,34297
34297,5,-25,33803
33803,6,-100,32809
32809,4,0,32314
32314,4,0,31318
31318,4,0,30322
30322,5,-25,29825
29825,4,0,28828
28828,5,-25,27830
27830,4,0,26832
26832,5,-25,26332
26332,4,0,25333
25333,4,0,24332
24332,5,-25,23831
23831,3,-25,22829
22829,3,-25,21327
21327,5,-25,20824
20824,4,0,19820
19820,2,-100,18816
18816,5,-25,17811
17811,3,-25,16805
16805,3,-25,15798
15798,2,-100,14791
14791,2,-100,13783
13783,4,0,12774
12774,3,-25,12265
12265,3,-25,11255
11255,5,-25,10746
10746,4,0,10735
10735,4,0,10225
10225,2,-100,9714
9714,2,-100,9203
9203,3,-25,9192
9192,5,-25,9181
9181,4,0,9670
9670,3,-25,9659
9659,4,0,10149
10149,4,0,10639
10639,4,0,11630
11630,3,-25,12120
12120,5,-25,13112
13112,3,-25,13604
13604,4,0,14597
14597,3,-25,15090
15090,5,-25,16084
16084,2,-100,16578
16578,5,-25,17573
17573,4,0,18569
18569,4,0,19565
19565,5,-25,20562
20562,4,0,21560
21560,2,-100,22058
22058,3,-25,23057
23057,5,-25,24056
24056,5,-25,25057
25057,3,-25,26058
26058,6,-100,27059
27059,6,-100,28562
28562,6,-100,29565
29565,4,0,30569
30569,6,-100,32074
32074,6,-100,33080
33080,6,-100,34587
34587,6,-100,35595
35595,4,0,36603
36603,6,-100,37612
37612,5,-25,38622
38622,4,0,39632
39632,6,-100,40643
40643,3,-25,41154
41154,4,0,41666
41666,6,-100,42178
42178,3,-25,42190
42190,4,0,42703
42703,6,-100,42715
42715,3,-25,42727
42727,5,-25,42240
42240,4,0,42252
42252,5,-25,41764
41764,3,-25,41275
41275,6,-100,40786
40786,3,-25,39797
39797,3,-25,38806
38806,6,-100,38316
38316,3,-25,37324
37324,4,0,36332
36332,5,-25,35840
35840,4,0,34847
34847,5,-25,33853
33853,6,-100,33359
33359,3,-25,32364
32364,6,-100,31868
31868,6,-100,30873
30873,6,-100,30376
30376,5,-25,29880
29880,3,-25,28882
28882,6,-100,28385
28385,5,-25,27886
27886,4,0,26888
26888,6,-100,26388
26388,3,-25,25389
25389,5,-25,24888
24888,4,0,23887
23887,3,-25,22886
22886,3,-25,21884
21884,4,0,20881
20881,2,-100,19877
19877,3,-25,18873
18873,5,-25,18368
18368,5,-25,17363
17363,3,-25,16356
16356,5,-25,15850
15850,2,-100,14342
14342,4,0,13334
13334,4,0,12325
12325,2,-100,11315
11315,2,-100,9805
9805,2,-100,8793
8793,3,-25,7781
7781,2,-100,6769
6769,4,0,6255
6255,5,-25,5742
5742,5,-25,5728
5728,2,-100,5214
5214,4,0,5200
5200,2,-100,4686
4686,5,-25,5172
5172,3,-25,5158
5158,3,-25,5644
5644,3,-25,6131
6131,2,-100,6118
6118,3,-25,7105
7105,2,-100,7593
7593,3,-25,8081
8081,5,-25,9070
9070,2,-100,10060
10060,2,-100,10550
10550,2,-100,11040
11040,2,-100,11531
11531,5,-25,12522
12522,3,-25,13514
13514,4,0,14006
14006,4,0,25001
25001,3,-25,25501
25501,4,0,26002
26002,3,-25,26503
26503,5,-25,27505
27505,4,0,28007
28007,4,0,29010
29010,5,-25,29513
29513,5,-25,30517
30517,5,-25,31522
31522,6,-100,32528
32528,6,-100,34034
34034,5,-25,35041
35041,5,-25,36049
36049,6,-100,37058
37058,6,-100,38567
38567,4,0,39578
39578,6,-100,40589
40589,5,-25,41601
41601,6,-100,42613
42613,3,-25,43626
43626,6,-100,44640
44640,4,0,45155
45155,4,0,45669
45669,4,0,46184
46184,3,-25,46199
46199,6,-100,46714
46714,6,-100,46730
46730,6,-100,46745
46745,4,0,46260
46260,6,-100,46275
46275,6,-100,45790
45790,6,-100,45304
45304,6,-100,44818
44818,3,-25,43832
43832,4,0,42844
42844,4,0,41856
41856,6,-100,41368
41368,5,-25,40879
40879,6,-100,40389
40389,5,-25,39399
39399,6,-100,38909
38909,4,0,38419
38419,4,0,37927
37927,5,-25,37436
37436,3,-25,36944
36944,5,-25,36452
36452,5,-25,36460
36460,6,99900,36469
25343,6,-100,25191
25191,2,-100,25191
25191,5,-25,25692
25692,2,-100,25192
25192,4,0,25693
25693,5,-25,25693
25693,2,-100,25694
25694,3,-25,25694
25694,6,-100,26195
26195,3,-25,25695
25695,1,-225,25696
25696,2,-100,25696
25696,3,-25,25197
25197,1,-225,25197
25197,1,-225,25197
25197,3,-25,24697
24697,6,-100,25197
25197,3,-25,25197
25197,1,-225,25197
25197,1,-225,24697
24697,4,0,24697
24697,3,-25,24697
24697,1,-225,24697
24697,2,-100,24196
24196,2,-100,24196
24196,1,-225,23695
23695,5,-25,24195
24195,3,-25,24194
24194,4,0,24193
24193,4,0,24193
24193,5,-25,24693
24693,4,0,24693
24693,7,-225,25193
25193,3,-25,25193
25193,3,-25,25193
25193,5,-25,25193
25193,3,-25,25194
25194,3,-25,25194
25194,1,-225,25194
25194,2,-100,24694
24694,6,-100,25194
25194,6,-100,25695
25695,7,-225,26196
26196,7,-225,26697
26697,4,0,26698
26698,2,-100,26699
26699,6,-100,26701
26701,7,-225,27202
27202,3,-25,27204
27204,2,-100,26705
26705,5,-25,26706
26706,4,0,26708
26708,7,-225,27209
27209,7,-225,27211
27211,7,-225,27713
27713,4,0,27715
27715,5,-25,27717
27717,7,-225,27719
27719,3,-25,27721
27721,6,-100,27722
27722,4,0,27724
27724,3,-25,27226
27226,2,-100,26727
26727,6,-100,26728
26728,5,-25,26729
26729,4,0,26230
26230,5,-25,26231
26231,2,-100,25732
25732,2,-100,25232
25232,1,-225,24231
24231,2,-100,23730
23730,1,-225,23229
23229,1,-225,22728
22728,2,-100,22226
22226,5,-25,22224
22224,6,-100,22222
22222,5,-25,22220
22220,1,-225,21717
21717,1,-225,21215
21215,7,-225,21712
21712,4,0,21210
21210,3,-25,21207
21207,2,-100,20704
20704,5,-25,21202
21202,2,-100,20699
20699,3,-25,20696
20696,6,-100,21193
21193,5,-25,21190
21190,5,-25,21688
21688,4,0,21686
21686,1,-225,21683
21683,2,-100,21681
21681,5,-25,22179
22179,7,-225,22677
22677,1,-225,22676
22676,1,-225,22674
22674,6,-100,23173
23173,5,-25,23672
23672,7,-225,24171
24171,6,-100,25172
25172,3,-25,25172
25172,7,-225,25672
25672,3,-25,26173
26173,2,-100,26174
26174,3,-25,26175
26175,1,-225,26176
26176,6,-100,26677
26677,1,-225,26678
26678,7,-225,27180
27180,4,0,27682
27682,6,-100,28184
28184,7,-225,28687
28687,6,-100,29190
29190,4,0,29193
29193,4,0,29696
29696,6,-100,29700
29700,6,-100,30204
30204,7,-225,30708
30708,6,-100,30712
30712,7,-225,31216
31216,7,-225,31221
31221,6,-100,31725
31725,7,-225,31730
31730,7,-225,31735
31735,2,-100,31239
31239,6,-100,30743
30743,6,-100,30747
30747,1,-225,30251
30251,1,-225,29254
29254,2,-100,28756
28756,7,-225,28259
28259,5,-25,27761
27761,5,-25,27763
27763,4,0,27264
27264,2,-100,26265
26265,2,-100,25265
25265,2,-100,24265
24265,6,-100,24264
24264,5,-25,23763
23763,3,-25,22761
22761,3,-25,22259
22259,3,-25,21257
21257,2,-100,20754
20754,5,-25,20251
20251,6,-100,20247
20247,6,-100,20244
20244,1,-225,19240
19240,7,-225,19236
19236,6,-100,19232
19232,4,0,18727
18727,6,-100,19223
19223,3,-25,18719
18719,1,-225,18214
18214,1,-225,17709
17709,5,-25,17704
17704,3,-25,17699
17699,2,-100,17693
17693,6,-100,17689
17689,7,-225,18184
18184,4,0,18679
18679,7,-225,19175
19175,6,-100,19672
19672,3,-25,20168
20168,2,-100,20165
20165,6,-100,20662
20662,3,-25,21159
21159,6,-100,21657
21657,3,-25,22155
22155,6,-100,23154
23154,1,-225,23152
23152,5,-25,23652
23652,1,-225,24151
24151,1,-225,24151
24151,4,0,24651
24651,6,-100,25651
25651,5,-25,26152
26152,1,-225,26653
26653,2,-100,26655
26655,7,-225,27657
27657,1,-225,27659
27659,2,-100,28161
28161,5,-25,28663
28663,4,0,29166
29166,3,-25,29169
29169,5,-25,29673
29673,5,-25,30176
30176,5,-25,30680
30680,5,-25,31185
31185,1,-225,31189
31189,4,0,31194
31194,7,-225,31698
31698,1,-225,31203
31203,1,-225,31207
31207,7,-225,31212
31212,4,0,31216
31216,5,-25,31221
31221,3,-25,31225
31225,3,-25,30729
30729,1,-225,30233
30233,1,-225,29736
29736,7,-225,29739
29739,7,-225,29242
29242,2,-100,28745
28745,5,-25,28747
28747,2,-100,27749
27749,2,-100,27251
27251,5,-25,26752
26752,7,-225,26753
26753,4,0,26254
26254,1,-225,25254
25254,6,-100,25254
25254,2,-100,24253
24253,2,-100,23252
23252,1,-225,22751
22751,7,-225,22749
22749,4,0,22247
22247,1,-225,21244
21244,6,-100,21242
21242,6,-100,21239
21239,3,-25,20736
20736,1,-225,20232
20232,2,-100,19228
19228,7,-225,19225
19225,2,-100,18720
18720,6,-100,19216
19216,2,-100,18712
18712,2,-100,18207
18207,7,-225,18702
18702,6,-100,18698
18698,4,0,18694
18694,4,0,19190
19190,7,-225,19686
19686,2,-100,19182
19182,4,0,19678
19678,5,-25,20175
20175,1,-225,20171
20171,3,-25,20168
20168,3,-25,20665
20665,1,-225,20662
20662,7,-225,21159
21159,3,-25,21657
21657,7,-225,22155
22155,6,-100,23154
23154,5,-25,23653
23653,7,-225,24653
24653,3,-25,25153
25153,4,0,25654
25654,3,-25,26155
26155,4,0,26656
26656,7,-225,27157
27157,7,-225,28160
28160,2,-100,28162
28162,7,-225,29165
29165,1,-225,29168
29168,7,-225,29671
29671,6,-100,30175
30175,2,-100,30179
30179,2,-100,30183
30183,3,-25,30687
30687,7,-225,31191
31191,3,-25,31195
31195,7,-225,31200
31200,2,-100,31204
31204,6,-100,31709
31709,7,-225,31713
31713,5,-25,31718
31718,1,-225,31223
31223,5,-25,31227
31227,1,-225,30731
30731,7,-225,30735
30735,6,-100,30739
30739,3,-25,30243
30243,6,-100,30247
30247,7,-225,30251
30251,7,-225,29754
29754,3,-25,29257
29257,6,-100,29260
29260,7,-225,28763
28763,7,-225,28765
28765,4,0,28267
28267,6,-100,27769
27769,3,-25,26771
26771,5,-25,26272
26272,6,-100,26272
26272,4,0,25273
25273,7,-225,25273
25273,1,-225,24272
24272,5,-25,23771
23771,1,-225,22770
22770,2,-100,21767
21767,5,-25,21265
21265,1,-225,20262
20262,2,-100,19758
19758,5,-25,19254
19254,6,-100,18749
18749,7,-225,18745
18745,4,0,18240
18240,2,-100,17735
17735,3,-25,17230
17230,6,-100,17224
17224,1,-225,16719
16719,2,-100,16213
16213,5,-25,16207
16207,1,-225,16200
16200,1,-225,15694
15694,5,-25,16188
16188,5,-25,16181
16181,3,-25,16676
16676,1,-225,16670
16670,5,-25,17164
17164,2,-100,17158
17158,1,-225,17153
17153,2,-100,17648
17648,6,-100,18143
18143,6,-100,19139
19139,1,-225,19635
19635,6,-100,20632
20632,7,-225,21630
21630,4,0,22128
22128,5,-25,23127
23127,3,-25,23626
23626,6,-100,24626
24626,2,-100,25126
25126,4,0,25627
25627,6,-100,26628
26628,2,-100,27130
27130,1,-225,27632
27632,5,-25,28634
28634,6,-100,29637
29637,4,0,30141
30141,7,-225,31146
31146,5,-25,31650
31650,5,-25,32656
32656,7,-225,33162
33162,7,-225,34168
34168,5,-25,34675
34675,2,-100,34682
34682,1,-225,34689
34689,5,-25,34696
34696,6,-100,35203
35203,4,0,35210
35210,7,-225,35718
35718,7,-225,35726
35726,2,-100,35233
35233,5,-25,35240
35240,4,0,34747
34747,2,-100,34253
34253,7,-225,33760
33760,7,-225,33766
33766,6,-100,33272
33272,2,-100,32277
32277,4,0,31782
31782,6,-100,31286
31286,3,-25,30290
30290,7,-225,29793
29793,4,0,29296
29296,7,-225,28799
28799,7,-225,28301
28301,3,-25,27303
27303,7,-225,26804
26804,1,-225,25304
25304,1,-225,24304
24304,2,-100,23302
23302,5,-25,22801
22801,6,-100,21798
21798,2,-100,20795
20795,6,-100,20292
20292,5,-25,19789
19789,5,-25,19284
19284,3,-25,18280
18280,1,-225,17274
17274,5,-25,16768
16768,1,-225,15762
15762,4,0,15255
15255,3,-25,14748
14748,7,-225,14240
14240,3,-25,13732
13732,1,-225,13224
13224,3,-25,12716
12716,2,-100,12707
12707,6,-100,12698
12698,2,-100,12689
12689,4,0,12681
12681,2,-100,12672
12672,6,-100,13164
13164,3,-25,13656
13656,2,-100,13648
13648,3,-25,14140
14140,4,0,14633
14633,6,-100,15627
15627,6,-100,16621
16621,2,-100,17116
17116,4,0,18111
18111,4,0,18606
18606,7,-225,20103
20103,1,-225,20600
20600,3,-25,21097
21097,5,-25,22095
22095,1,-225,22594
22594,2,-100,23593
23593,6,-100,24593
24593,4,0,25593
25593,1,-225,26094
26094,5,-25,27096
27096,1,-225,27598
27598,5,-25,28600
28600,4,0,29604
29604,7,-225,30608
30608,5,-25,31613
31613,5,-25,32618
32618,7,-225,33624
33624,6,-100,34631
34631,7,-225,35639
35639,6,-100,36648
36648,1,-225,37156
37156,6,-100,37665
37665,3,-25,38175
38175,3,-25,38184
38184,4,0,38694
38694,4,0,38703
38703,5,-25,38713
38713,7,-225,39223
39223,7,-225,39233
39233,4,0,38743
38743,4,0,38752
38752,5,-25,38262
38262,1,-225,37270
37270,5,-25,36779
36779,4,0,36287
36287,7,-225,35794
35794,7,-225,35302
35302,4,0,34308
34308,4,0,33814
33814,5,-25,32820
32820,2,-100,31824
31824,5,-25,30828
30828,1,-225,29832
29832,5,-25,28834
28834,7,-225,28337
28337,6,-100,27839
27839,6,-100,26840
26840,7,-225,26341
26341,6,-100,25841
25841,2,-100,24341
24341,6,-100,23840
23840,4,0,22839
22839,7,-225,22337
22337,5,-25,21835
21835,7,-225,20832
20832,5,-25,20328
20328,7,-225,19824
19824,1,-225,18320
18320,7,-225,17815
17815,6,-100,17309
17309,7,-225,16803
16803,3,-25,15796
15796,4,0,14789
14789,5,-25,14282
14282,1,-225,13273
13273,1,-225,12264
12264,6,-100,11755
11755,7,-225,11746
11746,3,-25,11236
11236,2,-100,10726
10726,3,-25,10215
10215,2,-100,9704
9704,2,-100,9193
9193,7,-225,9683
9683,4,0,10172
10172,4,0,10162
10162,7,-225,11152
11152,7,-225,12143
12143,2,-100,12134
12134,3,-25,12625
12625,2,-100,13117
13117,4,0,14109
14109,7,-225,15102
15102,5,-25,16096
16096,7,-225,17091
17091,7,-225,18586
18586,1,-225,19082
19082,6,-100,20079
20079,1,-225,21076
21076,5,-25,22074
22074,5,-25,23073
23073,2,-100,23572
23572,5,-25,24572
24572,4,0,25572
25572,5,-25,26574
26574,5,-25,27576
27576,4,0,28579
28579,4,0,29582
29582,2,-100,30086
30086,4,0,31090
31090,1,-225,31595
31595,3,-25,32601
32601,5,-25,33607
33607,4,0,34614
34614,3,-25,35121
35121,4,0,35629
25343,1,-225,24691
24691,1,-225,24691
24691,1,-225,24690
24690,1,-225,24190
24190,1,-225,24189
24189,1,-225,24189
24189,1,-225,23688
23688,1,-225,23687
23687,1,-225,23686
23686,1,-225,23685
23685,1,-225,23184
23184,1,-225,23183
23183,1,-225,23182
23182,1,-225,23180
23180,1,-225,23179
23179,1,-225,23178
23178,1,-225,23176
23176,1,-225,23175
23175,1,-225,23174
23174,1,-225,23172
23172,1,-225,23171
23171,1,-225,23170
23170,1,-225,23169
23169,1,-225,23167
23167,1,-225,23166
23166,1,-225,23165
23165,1,-225,23664
23664,1,-225,23663
23663,1,-225,23662
23662,1,-225,23662
23662,1,-225,24161
24161,1,-225,24160
24160,1,-225,24160
24160,1,-225,24160
24160,1,-225,24659
24659,1,-225,24659
24659,1,-225,24659
24659,1,-225,25159
25159,7,-225,25660
25660,7,-225,26661
26661,7,-225,27163
27163,7,-225,28165
28165,7,-225,28667
28667,7,-225,29671
29671,7,-225,30174
30174,7,-225,30678
30678,7,-225,31183
31183,7,-225,31688
31688,7,-225,32193
32193,7,-225,32699
32699,7,-225,33205
33205,7,-225,33711
33711,7,-225,33717
33717,7,-225,34223
34223,7,-225,34230
34230,7,-225,34236
34236,7,-225,34243
34243,7,-225,34249
34249,7,-225,33755
33755,7,-225,33761
33761,7,-225,33267
33267,7,-225,33273
33273,7,-225,32779
32779,7,-225,32284
32284,7,-225,32289
32289,7,-225,31794
31794,7,-225,31298
31298,7,-225,30802
30802,7,-225,30305
30305,7,-225,29809
29809,7,-225,28811
28811,7,-225,28314
28314,7,-225,27816
27816,7,-225,27317
27317,7,-225,26819
26819,7,-225,26319
26319,7,-225,25320
25320,7,-225,24820
24820,1,-225,23819
23819,1,-225,22317
22317,1,-225,21314
21314,1,-225,20311
20311,1,-225,18806
18806,1,-225,17801
17801,1,-225,16795
16795,1,-225,15289
15289,1,-225,14281
14281,1,-225,13273
13273,1,-225,12264
12264,1,-225,11755
11755,1,-225,10745
10745,1,-225,10234
10234,1,-225,9223
9223,1,-225,8712
8712,1,-225,8700
8700,1,-225,8188
8188,1,-225,8176
8176,1,-225,8164
8164,1,-225,8153
8153,1,-225,8141
8141,1,-225,8629
8629,1,-225,9118
9118,1,-225,9607
9607,1,-225,10097
10097,1,-225,10587
10587,1,-225,11077
11077,1,-225,11568
11568,1,-225,12559
12559,1,-225,13051
13051,1,-225,13543
13543,1,-225,14035
14035,1,-225,14528
14528,1,-225,15021
15021,1,-225,15515
15515,1,-225,16009
16009,1,-225,16503
16503,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29009
29009,7,-225,30013
30013,7,-225,31017
31017,7,-225,32523
32523,7,-225,33529
33529,7,-225,34536
34536,7,-225,36044
36044,7,-225,37052
37052,7,-225,38062
38062,7,-225,39572
39572,7,-225,40583
40583,7,-225,42095
42095,7,-225,43108
43108,7,-225,44622
44622,7,-225,45637
45637,7,-225,46652
46652,7,-225,47168
47168,7,-225,48184
48184,7,-225,48701
48701,7,-225,48718
48718,7,-225,49235
49235,7,-225,49252
49252,7,-225,48769
48769,7,-225,48785
48785,7,-225,48302
48302,7,-225,47818
47818,7,-225,47333
47333,7,-225,46849
46849,7,-225,45863
45863,7,-225,45378
45378,7,-225,44891
44891,7,-225,44405
44405,7,-225,43918
43918,7,-225,43931
43931,7,-225,43444
43444,7,-225,43457
43457,7,99775,43470
25343,2,-100,24685
24685,3,-25,24685
24685,2,-100,24685
24685,2,-100,24685
24685,4,0,24685
24685,3,-25,24685
24685,5,-25,25185
25185,5,-25,25686
25686,5,-25,26187
26187,3,-25,26187
26187,4,0,26188
26188,4,0,26189
26189,4,0,26690
26690,3,-25,26692
26692,3,-25,26693
26693,3,-25,26694
26694,5,-25,26695
26695,3,-25,26696
26696,4,0,26698
26698,3,-25,26699
26699,6,-100,27201
27201,3,-25,27202
27202,6,-100,27204
27204,5,-25,27706
27706,4,0,27707
27707,5,-25,27709
27709,4,0,27711
27711,4,0,27713
27713,3,-25,27215
27215,4,0,27216
27216,5,-25,27218
27218,5,-25,27219
27219,6,-100,27221
27221,3,-25,27223
27223,4,0,26724
26724,3,-25,26725
26725,4,0,26226
26226,5,-25,26227
26227,5,-25,26228
26228,5,-25,26229
26229,4,0,25729
25729,4,0,25730
25730,5,-25,25730
25730,6,-100,25730
25730,5,-25,25231
25231,6,-100,25231
25231,5,-25,25231
25231,5,-25,25231
25231,5,-25,25232
25232,5,-25,24732
24732,3,-25,24731
24731,3,-25,24231
24231,3,-25,23730
23730,4,0,23229
23229,2,-100,22727
22727,5,-25,22726
22726,3,-25,22224
22224,2,-100,21722
21722,3,-25,21719
21719,4,0,21217
21217,3,-25,21214
21214,5,-25,21211
21211,5,-25,21209
21209,5,-25,21206
21206,2,-100,21203
21203,2,-100,20700
20700,2,-100,20697
20697,5,-25,20694
20694,4,0,20691
20691,3,-25,20688
20688,4,0,21186
21186,5,-25,21183
21183,5,-25,21681
21681,3,-25,21679
21679,3,-25,22176
22176,4,0,22175
22175,2,-100,22173
22173,2,-100,22171
22171,2,-100,22169
22169,4,0,22667
22667,5,-25,23166
23166,4,0,23665
23665,3,-25,23664
23664,2,-100,24164
24164,2,-100,24163
24163,5,-25,24663
24663,5,-25,25163
25163,4,0,25664
25664,4,0,26165
26165,6,-100,26666
26666,4,0,27167
27167,4,0,27669
27669,4,0,28172
28172,6,-100,28674
28674,4,0,29177
29177,4,0,29180
29180,5,-25,29683
29683,4,0,29687
29687,3,-25,29690
29690,4,0,30194
30194,6,-100,30698
30698,3,-25,30202
30202,3,-25,30206
30206,3,-25,30209
30209,3,-25,29713
29713,5,-25,30216
30216,3,-25,29720
29720,5,-25,29723
29723,6,-100,29726
29726,3,-25,29730
29730,5,-25,29233
29233,6,-100,29236
29236,3,-25,28739
28739,6,-100,28741
28741,6,-100,28744
28744,5,-25,28747
28747,4,0,28249
28249,5,-25,27751
27751,5,-25,27753
27753,6,-100,27254
27254,3,-25,26756
26756,6,-100,26757
26757,5,-25,26258
26258,4,0,25758
25758,6,-100,25258
25258,3,-25,24758
24758,4,0,24258
24258,5,-25,23757
23757,5,-25,23256
23256,3,-25,22754
22754,4,0,22252
22252,3,-25,21750
21750,4,0,21247
21247,5,-25,20744
20744,3,-25,20241
20241,3,-25,19737
19737,4,0,19233
19233,2,-100,18729
18729,3,-25,18224
18224,3,-25,18220
18220,4,0,17715
17715,4,0,17710
17710,3,-25,17704
17704,5,-25,17699
17699,5,-25,18194
18194,3,-25,17689
17689,2,-100,17684
17684,2,-100,17679
17679,3,-25,17674
17674,2,-100,17669
17669,2,-100,17664
17664,2,-100,18159
18159,2,-100,18154
18154,3,-25,18650
18650,5,-25,19146
19146,5,-25,19642
19642,4,0,20639
20639,5,-25,21137
21137,5,-25,22135
22135,5,-25,22633
22633,2,-100,23132
23132,4,0,24131
24131,4,0,24631
24631,5,-25,25632
25632,3,-25,26132
26132,3,-25,26634
26634,4,0,27135
27135,6,-100,28138
28138,3,-25,28640
28640,3,-25,29143
29143,4,0,29647
29647,6,-100,30651
30651,6,-100,31655
31655,4,0,32160
32160,5,-25,32666
32666,4,0,33172
33172,3,-25,33177
33177,3,-25,33183
33183,4,0,33690
33690,3,-25,33696
33696,4,0,33702
33702,6,-100,34208
34208,4,0,34215
34215,6,-100,34221
34221,4,0,34228
34228,5,-25,34234
34234,5,-25,33740
33740,3,-25,33246
33246,5,-25,33252
33252,4,0,32757
32757,6,-100,32262
