N1,N2,N10,N28,N13,N3,N4,N5,N8,N14,N30,N16,N15,N6,N22,N38,N23,N35,N11,N7,N17,N18,N9,N19,N25,N31,N36,N34,N40,N49,N27,N43,N33,N47,N48,N41,N46,N29,N37,N12,N21,N39,N50,N24,N26,N20,N42,N44,N32,N45
2,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1
1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1
1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,1,2,1
1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1
2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1
2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1
2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2
2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1
1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1
1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1
2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1
2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2
2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2
1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2
1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2
2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2
1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2
1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1
2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1
1,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1
2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,1,1
1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1
1,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,1
2,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1
2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1
1,1,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2
1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2
1,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1
2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,2,1
1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1
1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2
1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2
1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1
1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2
1,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,2
2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2
1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1
1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1
1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2
1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,2
1,1,2,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,2
2,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2
1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,2
1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1
1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2
1,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2
1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1
1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2
1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1,2
2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1
1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1
2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2
2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2
1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2
1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1
1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2
2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1
1,2,2,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2
2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,2,1
2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1
1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,1,2
1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2
1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2
2,1,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2
1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1
1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2
1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2
2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1
2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1
1,1,2,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2
2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2
1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2
2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2
1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1
1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2
2,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2
2,2,2,1,2,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1
1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2
1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,2
1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,1,2,2
1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1
1,1,2,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1
1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2
1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1
2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2
1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2
2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1
1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2
1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,2
1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1
1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1
2,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2
1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2
2,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1
1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,2
2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1
1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1
2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2
1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1
2,1,2,1,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,2
2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1
2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1
1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2
2,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2
1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1
1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2
1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,1
1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2
2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1
1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1
1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,1
2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,1
1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,1,1
1,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1
